Change Component Comment : Designator=J400 Old Comment= New Comment=282837-3
Change Component Comment : Designator=J401 Old Comment= New Comment=282837-3
Change Component Comment : Designator=IC201 Old Comment= New Comment=ADP160AUJZ-3.3-R7
Change Component Comment : Designator=C200 Old Comment= New Comment=C0805C104K8RACAUTO
Change Component Comment : Designator=C202 Old Comment= New Comment=C0805C104K8RACAUTO
Change Component Comment : Designator=LS500 Old Comment= New Comment=CPT-1255C-090
Change Component Comment : Designator=C400 Old Comment= New Comment=MAL213668101E3
Change Component Comment : Designator=IC200 Old Comment= New Comment=MC78L05ACHT1G
Change Component Comment : Designator=MOTOR400 Old Comment= New Comment=MPC17529EJ
Change Component Comment : Designator=R400 Old Comment= New Comment=PMR18EZPJ000
Change Component Comment : Designator=Q500 Old Comment= New Comment=SIHFR120-GE3
Change Component Comment : Designator=C201 Old Comment= New Comment=TAJR334M020RNJ
Change Component Comment : Designator=SW200 Old Comment=JS202011SCQN New Comment=MHS22204
Change Component Designator: OldDesignator=CR? NewDesignator=CR500
Change Component Description : Designator=MOTOR400 Old Description= New Description=Dual Motor Driver
Change component parameters: Designator = "C201" ("C201"); Footprint = "CAPM3216X18N"; UniqueID = "\DJAMUQSM" ("\DJAMUQSM")
Add component (AddParameter): Name = "Case Size"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439169.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439169.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/30136/1773266-a-30136341.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/30136/1773266-a-30136341.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439080.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439080.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439081.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439081.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439083.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439083.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimension"; Value = "3.2 x 1.6 x 1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "RC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity (Tyco Electronics)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "1625854-1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55 to 125 C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part No"; Value = "1625854-1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.28, 10=0.261, 25=0.224, 50=0.1902, 100=0.1828, 250=0.1641, 500=0.1567, 1000=0.1306 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance Value"; Value = "0 Ohm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "31937"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number"; Value = "A106143CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Terminal Pitch"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination Style"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "N/R"; VariantName = "[No Variations]"
Added Component: Designator=TP202(TP-SMC-1206)
Add component (AddParameter): Name = "Case Size"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439169.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439169.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/30136/1773266-a-30136341.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/30136/1773266-a-30136341.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439080.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439080.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439081.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439081.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439083.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439083.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimension"; Value = "3.2 x 1.6 x 1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "RC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity (Tyco Electronics)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "1625854-1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55 to 125 C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part No"; Value = "1625854-1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.28, 10=0.261, 25=0.224, 50=0.1902, 100=0.1828, 250=0.1641, 500=0.1567, 1000=0.1306 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance Value"; Value = "0 Ohm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "31937"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number"; Value = "A106143CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Terminal Pitch"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination Style"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "N/R"; VariantName = "[No Variations]"
Added Component: Designator=TP400(TP-SMC-1206)
Add component (AddParameter): Name = "Case Size"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439169.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439169.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/30136/1773266-a-30136341.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/30136/1773266-a-30136341.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439080.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439080.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439081.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439081.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439083.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439083.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimension"; Value = "3.2 x 1.6 x 1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "RC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity (Tyco Electronics)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "1625854-1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55 to 125 C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part No"; Value = "1625854-1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.28, 10=0.261, 25=0.224, 50=0.1902, 100=0.1828, 250=0.1641, 500=0.1567, 1000=0.1306 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance Value"; Value = "0 Ohm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "31937"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number"; Value = "A106143CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Terminal Pitch"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination Style"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "N/R"; VariantName = "[No Variations]"
Added Component: Designator=TP401(TP-SMC-1206)
Add component (AddParameter): Name = "Case Size"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439169.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439169.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/30136/1773266-a-30136341.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/30136/1773266-a-30136341.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439080.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439080.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439081.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439081.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439083.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439083.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimension"; Value = "3.2 x 1.6 x 1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "RC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity (Tyco Electronics)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "1625854-1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55 to 125 C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part No"; Value = "1625854-1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.28, 10=0.261, 25=0.224, 50=0.1902, 100=0.1828, 250=0.1641, 500=0.1567, 1000=0.1306 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance Value"; Value = "0 Ohm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "31937"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number"; Value = "A106143CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Terminal Pitch"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination Style"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "N/R"; VariantName = "[No Variations]"
Added Component: Designator=TP402(TP-SMC-1206)
Add component (AddParameter): Name = "Case Size"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439169.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439169.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/30136/1773266-a-30136341.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/30136/1773266-a-30136341.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439080.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439080.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439081.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439081.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439083.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439083.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimension"; Value = "3.2 x 1.6 x 1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "RC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity (Tyco Electronics)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "1625854-1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55 to 125 C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part No"; Value = "1625854-1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.28, 10=0.261, 25=0.224, 50=0.1902, 100=0.1828, 250=0.1641, 500=0.1567, 1000=0.1306 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance Value"; Value = "0 Ohm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "31937"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number"; Value = "A106143CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Terminal Pitch"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination Style"; Value = "N/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "N/R"; VariantName = "[No Variations]"
Added Component: Designator=TP403(TP-SMC-1206)
Add component (AddParameter): Name = "Case Size"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439169.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439169.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/30136/1773266-a-30136341.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/30136/1773266-a-30136341.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439080.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439080.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439081.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439081.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439083.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/6439/eng-ds-1773266-a-6439083.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimension"; Value = "3.2 x 1.6 x 1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "RC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity (Tyco Electronics)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "1625854-1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55 to 125 C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part No"; Value = "1625854-1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "N/R"; VariantName = "[No Variations]"
